slug	city	file_title	description_url	license	license_url	artist	download_url
sultanahmet	İstanbul	File:Exterior of Sultan Ahmed I Mosque in Istanbul, Turkey 002.jpg	https://commons.wikimedia.org/wiki/File:Exterior_of_Sultan_Ahmed_I_Mosque_in_Istanbul,_Turkey_002.jpg	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0/	Moonik	https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Exterior_of_Sultan_Ahmed_I_Mosque_in_Istanbul%2C_Turkey_002.jpg/1280px-Exterior_of_Sultan_Ahmed_I_Mosque_in_Istanbul%2C_Turkey_002.jpg
ayasofya	İstanbul	File:Hagia Sophia Mars 2013.jpg	https://commons.wikimedia.org/wiki/File:Hagia_Sophia_Mars_2013.jpg	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0/	Arild Vågen	https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Hagia_Sophia_Mars_2013.jpg/1280px-Hagia_Sophia_Mars_2013.jpg
galata	İstanbul	File:20101106 Galata Tower Istanbul Turkey Panorama.jpg	https://commons.wikimedia.org/wiki/File:20101106_Galata_Tower_Istanbul_Turkey_Panorama.jpg	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0/	Ggia	https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/20101106_Galata_Tower_Istanbul_Turkey_Panorama.jpg/1280px-20101106_Galata_Tower_Istanbul_Turkey_Panorama.jpg
kapadokya	Nevşehir	File:Cappadocia Aerial View Landscape.jpg	https://commons.wikimedia.org/wiki/File:Cappadocia_Aerial_View_Landscape.jpg	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	Benh LIEU SONG	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Cappadocia_Aerial_View_Landscape.jpg/1280px-Cappadocia_Aerial_View_Landscape.jpg
efes	İzmir	File:Ephesus Celsus Library Façade.jpg	https://commons.wikimedia.org/wiki/File:Ephesus_Celsus_Library_Fa%C3%A7ade.jpg	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0/	Benh LIEU SONG	https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Ephesus_Celsus_Library_Fa%C3%A7ade.jpg/1280px-Ephesus_Celsus_Library_Fa%C3%A7ade.jpg
pamukkale	Denizli	File:Hot Springs of Pamukkale Turkey.jpg	https://commons.wikimedia.org/wiki/File:Hot_Springs_of_Pamukkale_Turkey.jpg	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0/	Brocken Inaglory	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Hot_Springs_of_Pamukkale_Turkey.jpg/1280px-Hot_Springs_of_Pamukkale_Turkey.jpg
kaleici	Antalya	File:Antalya Kaleiçi.jpg	https://commons.wikimedia.org/wiki/File:Antalya_Kalei%C3%A7i.jpg	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	Qubated	https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Antalya_Kalei%C3%A7i.jpg/1280px-Antalya_Kalei%C3%A7i.jpg
bodrum	Muğla	File:Bodrum Kalesi ve Mendirek 2015.jpg	https://commons.wikimedia.org/wiki/File:Bodrum_Kalesi_ve_Mendirek_2015.jpg	CC0	https://creativecommons.org/publicdomain/zero/1.0/	Hamdigumus	https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Bodrum_Kalesi_ve_Mendirek_2015.jpg/1280px-Bodrum_Kalesi_ve_Mendirek_2015.jpg
oludeniz	Muğla	File:Ölüdeniz lagoon.jpg	https://commons.wikimedia.org/wiki/File:%C3%96l%C3%BCdeniz_lagoon.jpg	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	Hsuparneeuq	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%C3%96l%C3%BCdeniz_lagoon.jpg/1280px-%C3%96l%C3%BCdeniz_lagoon.jpg
troya	Çanakkale	File:Troy archaeological site - Turkey (3).jpg	https://commons.wikimedia.org/wiki/File:Troy_archaeological_site_-_Turkey_(3).jpg	CC BY 3.0 PL	https://creativecommons.org/licenses/by/3.0/pl/	Radosław Botev	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Troy_archaeological_site_-_Turkey_%283%29.jpg/1280px-Troy_archaeological_site_-_Turkey_%283%29.jpg
cumalikizik	Bursa	File:Cumalıkızık 7121.jpg	https://commons.wikimedia.org/wiki/File:Cumal%C4%B1k%C4%B1z%C4%B1k_7121.jpg	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0/	Darwinek	https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Cumal%C4%B1k%C4%B1z%C4%B1k_7121.jpg/1280px-Cumal%C4%B1k%C4%B1z%C4%B1k_7121.jpg
safranbolu	Karabük	File:Safranbolu Evleri 2014.jpg	https://commons.wikimedia.org/wiki/File:Safranbolu_Evleri_2014.jpg	CC0	https://creativecommons.org/publicdomain/zero/1.0/	Hamdigumus	https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Safranbolu_Evleri_2014.jpg/1280px-Safranbolu_Evleri_2014.jpg
selimiye	Edirne	File:20120604 Edirne view from the top of the Minaret of Selimiye Mosque Edirne Turkey Panoramic.jpg	https://commons.wikimedia.org/wiki/File:20120604_Edirne_view_from_the_top_of_the_Minaret_of_Selimiye_Mosque_Edirne_Turkey_Panoramic.jpg	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0/	Ggia	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/20120604_Edirne_view_from_the_top_of_the_Minaret_of_Selimiye_Mosque_Edirne_Turkey_Panoramic.jpg/1280px-20120604_Edirne_view_from_the_top_of_the_Minaret_of_Selimiye_Mosque_Edirne_Turkey_Panoramic.jpg
mevlana	Konya	File:Mevlana Museum - Aziziye, Karatay District, Konya Province, Turkey - October 5, 2025.jpg	https://commons.wikimedia.org/wiki/File:Mevlana_Museum_-_Aziziye,_Karatay_District,_Konya_Province,_Turkey_-_October_5,_2025.jpg	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	Giorgio Galeotti	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Mevlana_Museum_-_Aziziye%2C_Karatay_District%2C_Konya_Province%2C_Turkey_-_October_5%2C_2025.jpg/1280px-Mevlana_Museum_-_Aziziye%2C_Karatay_District%2C_Konya_Province%2C_Turkey_-_October_5%2C_2025.jpg
anitkabir	Ankara	File:Anıtkabir, Ankara, Turquía, 2024-10-03, DD 30.jpg	https://commons.wikimedia.org/wiki/File:An%C4%B1tkabir,_Ankara,_Turqu%C3%ADa,_2024-10-03,_DD_30.jpg	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	Diego Delso	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/An%C4%B1tkabir%2C_Ankara%2C_Turqu%C3%ADa%2C_2024-10-03%2C_DD_30.jpg/1280px-An%C4%B1tkabir%2C_Ankara%2C_Turqu%C3%ADa%2C_2024-10-03%2C_DD_30.jpg
mardin	Mardin	File:Old City View with Birds Swooping - Mardin - Turkey (5789547856).jpg	https://commons.wikimedia.org/wiki/File:Old_City_View_with_Birds_Swooping_-_Mardin_-_Turkey_(5789547856).jpg	CC BY-SA 2.0	https://creativecommons.org/licenses/by-sa/2.0/	Adam Jones	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Old_City_View_with_Birds_Swooping_-_Mardin_-_Turkey_%285789547856%29.jpg/1280px-Old_City_View_with_Birds_Swooping_-_Mardin_-_Turkey_%285789547856%29.jpg
gobeklitepe	Şanlıurfa	File:Göbekli Tepe, Urfa.jpg	https://commons.wikimedia.org/wiki/File:G%C3%B6bekli_Tepe,_Urfa.jpg	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0/	Teomancimit	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/G%C3%B6bekli_Tepe%2C_Urfa.jpg/1280px-G%C3%B6bekli_Tepe%2C_Urfa.jpg
zeugma	Gaziantep	File:Gaziantep Zeugma Museum Acrotos mosaic 2485.jpg	https://commons.wikimedia.org/wiki/File:Gaziantep_Zeugma_Museum_Acrotos_mosaic_2485.jpg	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	Dosseman	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Gaziantep_Zeugma_Museum_Acrotos_mosaic_2485.jpg/1280px-Gaziantep_Zeugma_Museum_Acrotos_mosaic_2485.jpg
nemrut	Adıyaman	File:Kommagene Kingdom Mount Nemrut Ruins.jpg	https://commons.wikimedia.org/wiki/File:Kommagene_Kingdom_Mount_Nemrut_Ruins.jpg	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	Theugursevinc	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Kommagene_Kingdom_Mount_Nemrut_Ruins.jpg/1280px-Kommagene_Kingdom_Mount_Nemrut_Ruins.jpg
